,Specimen,Locality,Fossil.Extant,Triangle,Age
1,BYU_7726977_1,RockSprings,F,5,50-5
2,MVZ_7969,Humboldt_NV,E,6,0
3,MVZ_26426,Mono_CA,E,6,0
4,MVZ_26428,Mono_CA,E,5,0
5,MVZ_26430,Mono_CA,E,5,0
6,MVZ_26431_3,Inyo_CA,E,5,0
7,MVZ_26432,Mono_CA,E,5,0
8,MVZ_26435,Mono_CA,E,5,0
9,MVZ_26436,Mono_CA,E,5,0
10,MVZ_26446,Mono_CA,E,5,0
11,MVZ_38479,Esmeralda_NV,E,5,0
12,MVZ_38481,Esmeralda_NV,E,5,0
13,MVZ_38727,Esmeralda_NV,E,5,0
14,MVZ_54472,Sasketchewan,E,5,0
15,MVZ_54473_2,Sasketchewan,E,5,0
16,MVZ_66430,Lassen_CA,E,5,0
17,MVZ_121137,Mono_CA,E,6,0
18,MVZ_121138,Mono_CA,E,6,0
19,MVZ_218372,Lassen_CA,E,5,0
20,MVZ_224234,Alpine_CA,E,5,0
21,TMM_2045_1,Cathedral,F,5,200-150
22,TMM_2112_1,Cathedral,F,5,200-150
23,TMM_2125_2,Cathedral,F,5,200-150
24,TMM_2126_1,Cathedral,F,5,200-150
26,TMM_2133,Cathedral,F,4,200-150
27,UCMP_155279_1,Porcupine,F,5,1000-750
28,UCMP_155281_1,Porcupine,F,5,1000-750
29,UCMP_155283_1,Porcupine,F,4,1000-750
30,UCMP_155284_1,Porcupine,F,5,1000-750
31,UCMP_155286_1,Porcupine,F,5,1000-750
32,UCMP_155287_1,Porcupine,F,5,1000-750
33,UCMP_155355_1,Porcupine,F,5,1000-750
34,UCMP_155356_1,Porcupine,F,5,1000-750
35,UCMP_155357_1,Porcupine,F,5,1000-750
36,UCMP_155359_1,Porcupine,F,5,1000-750
37,UCMP_155361_1,Porcupine,F,5,1000-750
38,UCMP_155368_1,Porcupine,F,5,1000-750
39,UCMP_155372_1,Porcupine,F,4,1000-750
40,UCMP_155376_1,Porcupine,F,4,1000-750
41,UCMP_155380_1,Porcupine,F,4,1000-750
42,UCMP_155383_1,Porcupine,F,5,1000-750
43,UCMP_155386_1,Porcupine,F,5,1000-750
44,UCMP_212977_1,Porcupine,F,5,1000-750
45,UCMP_213235_1,Porcupine,F,4,1000-750
46,UCMP_213253_1,Porcupine,F,4,1000-750
47,UCMP_213366_1,Porcupine,F,4,1000-750
48,UMNH_35650_4,Humboldt_NV,E,5,0
49,UMNH_35651_4,Humboldt_NV,E,4,0
50,UMNH_38730_4,White_Pine_NV,E,5,0
51,UMNH_38920_4,Mineral_NV,E,5,0
52,UMNH_38924_4,Mineral_NV,E,5,0
53,UMNH_39580_4,White_Pine_NV,E,5,0
54,UMNH_39581_4,White_Pine_NV,E,6,0
55,UMNH_42245_4,Custer_ID,E,5,0
56,UW_67283_1,Kennewick,F,5,50-5
57,UW_67284_1,Kennewick,F,5,50-5
58,UW_67285_1,Kennewick,F,4,50-5
59,UW_67286_1,Kennewick,F,5,50-5
60,UW_67290_1,Kennewick,F,5,50-5
62,UW_67376_1,Kennewick,F,5,50-5
63,UW_68224_1,Kennewick,F,5,50-5
